SECTEUR,COMPOSANT,FONCTIONNALITÉ,CAS D’USAGE,LOGICIEL,STATUT,LICENCE,LOGICIELPARENT,FORMAT ASSOCIÉ,Win X86/x64,LINUXMIMO,ANDROID,VERSIONFRANÇAISE
Données et contenu,BD Relationnelles,Base de données transactionnelle,Base de production,PostgreSQL,R,,,,,,,
Données et contenu,BD Relationnelles,Base transactionnelle cluster,Base de production,MariaDB,R,,,,,,,
Données et contenu,BD Relationnelles,Base transactionnelle cluster,Base de production,CockroachDB,O,,,,,,,
Données et contenu,BD Relationnelles,Base de données Géomatique,Information géographique,PostGIS,R,,,,,,,
Données et contenu,Gestionnaire de données non relationnelles,Base de données NoSQL,Base de données Document,MongoDB,R,,,,,,,
Données et contenu,Moteur de recherche,Indexation et recherche plein texte,En mode cluster,ElasticSearch,R,,,,,,,
Données et contenu,Moteur de recherche,Indexation et recherche plein texte,Limité à 1 serveur,Apache SolR,FR,,,,,,,
Logiciel Système et Virtualisation,Système d'Exploitation,Distribution GNU/LINUX,En centre de production,CentOS (souche Redhat),R,,,,,,,
Logiciel Système et Virtualisation,Système d'Exploitation,Distribution GNU/LINUX,Services déconcentrés,Ubuntu – Eole,R,,,,,,,
Logiciel Système et Virtualisation,Système d'Exploitation,Distribution GNU/LINUX,En centre de production,Debian,R,,,,,,,
Logiciel Système et Virtualisation,Virtualisation serveur et jusqu'à plateforme,Hyperviseur,Virtualisation serveurs,KVM,R,,,,,,,
Logiciel Système et Virtualisation,Virtualisation serveur et jusqu'à plateforme,IaaS – 2,Infonuage,OpenStack,R,,,,,,,
Logiciel Système et Virtualisation,Virtualisation serveur et jusqu'à plateforme,Virtualisation de serveurs,Infra virtuelle,OpenNebula,R,,,,,,,
Logiciel Système et Virtualisation,Haute disponibilité (OS),Haute Disponibilté,Infra virtuelle,Pacemaker – corosync,R,,,,,,,
Opérations,Supervision / Hypervision,Supervision Infrastructure et composants,Infra virtuelle,Shinken,R,,,,,,,
Opérations,Supervision / Hypervision,Supervision Infrastructure,Infra virtuelle,Centreon,R,,,,,,,
Stockage,Partage de fichiers,Partage de fichiers,Infra virtuelle,Samba 4,R,,,,,,,
Sécurité,Antivirus,Antivirus : Orienté serveur,Serveur Bureautique,ClamAV,R,,,,,,,
Sécurité,Authentification,Annuaire,Serveur Bureautique,OpenLdap,R,,,,,,,
Sécurité,Authentification,IAM,Serveur Bureautique,KEYCLOAK,O,,,,,,,
Sécurité,Authentification,SSO,Serveur Bureautique,LemonLDAP::NG,R,,,,,,,
Sécurité,Gestion des logs,Gestion des logs en mode centralisé,Serveur Bureautique,logstash / kibana,R,,,,,,,
Sécurité,Gestion des logs,Gestion des logs en mode centralisé,Serveur Bureautique,Syslog-ng,R,,,,,,,
Sécurité,Chiffrement,Chiffrement de fichiers / stockages,Serveur Bureautique,natif sous GNU/Linux,R,,,,,,,
Réseau,Pare-feu – Réseau,Pare-feu réseau et web,Services déconcentrés,Eole AMON,R,,,,,,,
Réseau,Serveur Web & 'Reverse Proxy,Serveur Web & Reverse Proxy,Services déconcentrés,Apache,R,,,,,,,
Réseau,Serveur Web & 'Reverse Proxy,Reverse Proxy,Services déconcentrés,Nginx,R,,,,,,,
Réseau,Serveur Web & 'Reverse Proxy,proxy,Services déconcentrés,SQUID,R,,,,,,,
Réseau,Serveur Web & 'Reverse Proxy,cache web,Services déconcentrés,VARNISH,R,,,,,,,
Réseau,Load Balancer,Load Balancer,Services déconcentrés,HAProxy,R,,,,,,,
Intégration & Échanges,Serveur d'impression,Serveur d'impression,Services déconcentrés,Cups,R,,,,,,,
Intégration & Échanges,Serveur SMTP,Messagerie system,Services déconcentrés,Postfix,R,,,,,,,
Sauvegarde,Sauvegarde Serveur,Sauvegadre Serveurs,Services déconcentrés,BAREOS,R,,,,,,,
Stockage,Sauvegarde Serveur,Stockage Objet,Services déconcentrés,Swift (OpenStack),R,,,,,,,
Stockage,Sauvegarde Serveur,Stockage Securisé,Services déconcentrés,Vault,O,,,,,,,
Stockage,Sauvegarde Serveur,Stockage block,Services déconcentrés,CEPH,R,,,,,,,
Opérations,Outils système & virtualisation,Déploiement,Services déconcentrés,SaltStack,R,,,,,,,
Opérations,Outils système & virtualisation,Déploiement,Services déconcentrés,Ansible,R,,,,,,,
Opérations,Outils système & virtualisation,Déploiement,Services déconcentrés,CONSUL,O,,,,,,,
Opérations,Outils système & virtualisation,Déploiement,Services déconcentrés,Packer,O,,,,,,,
Opérations,Outils système & virtualisation,conteneurs logiciels.,Services déconcentrés,Docker,R,,,,,,,
Opérations,Outils système & virtualisation,orchestration,conteneurs,Swarm,O,,,,,,,
Opérations,Outils système & virtualisation,orchestration,conteneurs,Kubernetes,R,,,,,,,
Opérations,Outils système & virtualisation,orchestration,conteneurs,Rundeck,O,,,,,,,
Espace utilisateur et canal,visiophonie,Outils VisoConférence,,JITSI,R,,,,,,,
